Numero_Sucursal,Nombre_Sucursal,Grupo_Operativo,Ciudad,Estado,Latitude,Longitude,Location_Code,Synced_At
1,Pino Suarez,TEPEYAC,Monterrey,Nuevo León,25.6722541,-100.3199394,2247000,2025-11-27T04:42:09.414Z
2,Madero,TEPEYAC,Monterrey,Nuevo León,25.6849795,-100.3204831,2247001,2025-11-27T04:42:09.509Z
3,Matamoros,TEPEYAC,Monterrey,Nuevo León,25.6697859,-100.3151163,2247002,2025-11-27T04:42:09.606Z
4,Santa Catarina,TEPEYAC,Santa Catarina,Nuevo León,25.6750664,-100.4439225,2247003,2025-11-27T04:54:42.084Z
5,Felix U. Gomez,TEPEYAC,Monterrey,Nuevo León,25.6820826,-100.2995173,2247004,2025-11-27T04:42:09.798Z
6,Garcia,TEPEYAC,García,Nuevo León,25.794377,-100.583317,2247005,2025-11-27T04:54:42.179Z
7,La Huasteca,TEPEYAC,Santa Catarina,Nuevo León,25.6616794,-100.4381282,2247006,2025-11-27T04:54:42.280Z
8,Gonzalitos,OGAS,Monterrey,Nuevo León,25.6963987,-100.3516156,2247007,2025-11-27T04:42:10.083Z
9,Anahuac,OGAS,San Nicolás de los Garza,Nuevo León,25.7443039,-100.3006696,2247008,2025-11-27T04:42:10.183Z
10,Barragan,OGAS,Monterrey,Nuevo León,25.763873,-100.3052723,2247009,2025-11-27T04:42:10.315Z
11,Lincoln,OGAS,Monterrey,Nuevo León,25.7618024,-100.4060882,2247010,2025-11-27T04:42:10.409Z
12,Concordia,OGAS,Monterrey,Nuevo León,25.7854018,-100.2482303,2247011,2025-11-27T04:42:10.504Z
13,Escobedo,OGAS,General Escobedo,Nuevo León,25.7928458,-100.3299884,2247012,2025-11-27T04:42:10.599Z
14,Aztlan,OGAS,San Nicolás de los Garza,Nuevo León,25.7269275,-100.3436258,2247013,2025-11-27T04:42:10.694Z
15,Ruiz Cortinez,OGAS,Monterrey,Nuevo León,25.7330158,-100.3754135,2247014,2025-11-27T04:42:10.789Z
16,Solidaridad,EPL SO,Monterrey,Nuevo León,25.7815666,-100.3865248,2247015,2025-11-27T04:42:10.885Z
17,Romulo Garza,EFM,San Nicolás de los Garza,Nuevo León,25.7176624,-100.2460914,2247016,2025-11-27T04:42:10.983Z
18,Linda Vista,EFM,Guadalupe,Nuevo León,25.6875477,-100.2607656,2247017,2025-11-27T04:42:11.167Z
19,Valle Soleado,EFM,Guadalupe,Nuevo León,25.705159,-100.1627585,2247018,2025-11-27T04:42:11.264Z
20,Tecnológico,TEC,Monterrey,Nuevo León,25.6469144,-100.2898745,2247019,2025-11-27T04:42:11.377Z
21,Chapultepec,TEC,Monterrey,Nuevo León,25.6665906,-100.268701,2247020,2025-11-27T04:42:11.475Z
22,Satelite,TEC,San Nicolás de los Garza,Nuevo León,25.6082097,-100.2702349,2247021,2025-11-27T04:42:11.574Z
23,Guasave,TEC,Guasave,Sinaloa,25.5613962,-108.463337,2247022,2025-11-27T04:42:11.671Z
24,Exposicion,EXPO,Monterrey,Nuevo León,25.6790149,-100.243663,2247023,2025-11-27T04:42:11.806Z
25,Juarez,EXPO,Monterrey,Nuevo León,25.6518436,-100.1128062,2247024,2025-11-27T04:42:11.900Z
26,Cadereyta,EXPO,Cadereyta Jiménez,Nuevo León,25.592725,-100.0016189,2247025,2025-11-27T04:42:11.995Z
27,Santiago,EXPO,Santiago,Nuevo León,25.42416,-100.14792,2247026,2025-11-27T04:42:12.399Z
28,Guerrero,EXPO,Nuevo Laredo,Tamaulipas,27.493964,-99.5073645,2247027,2025-11-27T04:42:12.494Z
29,Pablo Livas,EXPO,Guadalupe,Nuevo León,25.6575413,-100.1866706,2247028,2025-11-27T04:42:12.589Z
30,Carrizo,EXPO,Nuevo Laredo,Tamaulipas,27.4975404,-99.5509711,2247029,2025-11-27T04:42:12.706Z
31,Las Quintas,EXPO,Guadalupe,Nuevo León,25.6907136,-100.2125013,2247030,2025-11-27T04:42:12.811Z
32,Allende,EXPO,Allende,Nuevo León,25.2738086,-100.0175254,2247031,2025-11-27T04:42:12.907Z
33,Eloy Cavazos,EXPO,San Nicolás de los Garza,Nuevo León,25.6541672,-100.2098636,2247032,2025-11-27T04:42:13.005Z
34,Montemorelos,EXPO,Montemorelos,Nuevo León,25.1892233,-99.842423,2247033,2025-11-27T04:42:13.106Z
35,Apodaca,PLOG NUEVO LEON,Apodaca,Nuevo León,25.7522909,-100.198737,2247034,2025-11-27T04:58:22.919Z
36,Apodaca Centro,PLOG NUEVO LEON,Apodaca,Nuevo León,25.7774228,-100.1862806,2247035,2025-11-27T04:42:13.320Z
37,Stiva,PLOG NUEVO LEON,General Escobedo,Nuevo León,25.7883679,-100.1445498,2247036,2025-11-27T04:42:13.415Z
38,Gomez Morin,PLOG NUEVO LEON,San Pedro Garza García,Nuevo León,25.6589046,-100.3564118,2247037,2025-11-27T04:42:13.527Z
39,Lazaro Cardenas,PLOG NUEVO LEON,San Nicolás de los Garza,Nuevo León,25.6294433,-100.2990714,2247038,2025-11-27T04:42:13.631Z
40,Plaza 1500,PLOG NUEVO LEON,Apodaca,Nuevo León,25.7226185,-100.2004331,2247039,2025-11-27T04:42:13.726Z
41,Vasconcelos,PLOG NUEVO LEON,San Pedro Garza García,Nuevo León,25.6625206,-100.4042282,2247040,2025-11-27T04:42:13.820Z
42,Independencia,PLOG LAGUNA,Torreón,Coahuila,25.5463596,-103.4512412,2247041,2025-11-27T04:42:13.940Z
43,Revolucion,PLOG LAGUNA,Torreón,Coahuila,25.5348985,-103.3996871,2247042,2025-11-27T04:42:14.035Z
44,Senderos,PLOG LAGUNA,Torreón,Coahuila,25.6032981,-103.4003048,2247043,2025-11-27T04:42:14.129Z
45,Triana,PLOG LAGUNA,Torreón,Coahuila,25.5134939,-103.3942347,2247044,2025-11-27T04:42:14.253Z
46,Campestre,PLOG LAGUNA,Gómez Palacio,Durango,25.5546658,-103.5010797,2247045,2025-11-27T04:42:14.377Z
