Numero_Sucursal,Nombre_Sucursal,Grupo_Operativo,Ciudad,Estado,Latitude,Longitude,Location_Code,Synced_At
1,"Pino Suarez","TEPEYAC","Monterrey","Nuevo León",25.67225410,-100.31993940,"2247000","2025-11-27T04:42:09.414Z"
2,"Madero","TEPEYAC","Monterrey","Nuevo León",25.68497950,-100.32048310,"2247001","2025-11-27T04:42:09.509Z"
3,"Matamoros","TEPEYAC","Monterrey","Nuevo León",25.66978590,-100.31511630,"2247002","2025-11-27T04:42:09.606Z"
4,"Santa Catarina","TEPEYAC","Santa Catarina","Nuevo León",25.67506640,-100.44392250,"2247003","2025-11-27T04:54:42.084Z"
5,"Felix U. Gomez","TEPEYAC","Monterrey","Nuevo León",25.68208260,-100.29951730,"2247004","2025-11-27T04:42:09.798Z"
6,"Garcia","TEPEYAC","García","Nuevo León",25.79437700,-100.58331700,"2247005","2025-11-27T04:54:42.179Z"
7,"La Huasteca","TEPEYAC","Monterrey","Nuevo León",25.66167940,-100.43812820,"2247006","2025-11-27T04:54:42.280Z"
8,"Gonzalitos","OGAS","Monterrey","Nuevo León",25.69639870,-100.35161560,"2247007","2025-11-27T04:42:10.083Z"
9,"Anahuac","OGAS","San Nicolás de los Garza","Nuevo León",25.74430390,-100.30066960,"2247008","2025-11-27T04:42:10.183Z"
10,"Barragan","OGAS","Monterrey","Nuevo León",25.76387300,-100.30527230,"2247009","2025-11-27T04:42:10.315Z"
11,"Lincoln","OGAS","Monterrey","Nuevo León",25.76180240,-100.40608820,"2247010","2025-11-27T04:42:10.409Z"
12,"Concordia","OGAS","Monterrey","Nuevo León",25.78540180,-100.24823030,"2247011","2025-11-27T04:42:10.504Z"
13,"Escobedo","OGAS","General Escobedo","Nuevo León",25.79284580,-100.32998840,"2247012","2025-11-27T04:42:10.599Z"
14,"Aztlan","OGAS","Monterrey","Nuevo León",25.72692750,-100.34362580,"2247013","2025-11-27T04:42:10.694Z"
15,"Ruiz Cortinez","OGAS","Monterrey","Nuevo León",25.73301580,-100.37541350,"2247014","2025-11-27T04:42:10.789Z"
16,"Solidaridad","EPL SO","Monterrey","Nuevo León",25.78156660,-100.38652480,"2247015","2025-11-27T04:42:10.885Z"
17,"Romulo Garza","EFM","Monterrey","Nuevo León",25.71766240,-100.24609140,"2247016","2025-11-27T04:42:10.983Z"
18,"Linda Vista","EFM","Monterrey","Nuevo León",25.68754770,-100.26076560,"2247017","2025-11-27T04:42:11.167Z"
19,"Valle Soleado","EFM","Monterrey","Nuevo León",25.70515900,-100.16275850,"2247018","2025-11-27T04:42:11.264Z"
20,"Tecnológico","TEC","Monterrey","Nuevo León",25.64691440,-100.28987450,"2247019","2025-11-27T04:42:11.377Z"
21,"Chapultepec","TEC","Monterrey","Nuevo León",25.66659060,-100.26870100,"2247020","2025-11-27T04:42:11.475Z"
22,"Satelite","TEC","Monterrey","Nuevo León",25.60820970,-100.27023490,"2247021","2025-11-27T04:42:11.574Z"
23,"Guasave","TEC","Guasave","Sinaloa",25.56139620,-108.46333700,"2247022","2025-11-27T04:42:11.671Z"
24,"Exposicion","EXPO","Monterrey","Nuevo León",25.67901490,-100.24366300,"2247023","2025-11-27T04:42:11.806Z"
25,"Juarez","EXPO","Monterrey","Nuevo León",25.65184360,-100.11280620,"2247024","2025-11-27T04:42:11.900Z"
26,"Cadereyta","EXPO","Ciudad No Identificada","Estado No Identificado",25.59272500,-100.00161890,"2247025","2025-11-27T04:42:11.995Z"
27,"Santiago","EXPO","Ciudad No Identificada","Estado No Identificado",25.42416000,-100.14792000,"2247026","2025-11-27T04:42:12.399Z"
