ID,Numero_Sucursal,Nombre,Ciudad,Estado,Direccion,Coordenadas,,Zenput_ID
1,1,1 - Pino Suarez,Monterrey,Nuevo León,,"25.672254063040413, -100.31993941809701",,2247000
2,2,2 - Madero,Monterrey,Nuevo León,,"25.684979504256535, -100.32048312133588",,2247001
3,3,3 - Matamoros,Monterrey,Nuevo León,,"25.669785869324976, -100.31511630489572",,2247002
4,4,4 - Santa Catarina,Santa Catarina,Nuevo León,,"25.675066418655128, -100.44392246923258",,2247003
5,5,5 - Felix U. Gomez,Monterrey,Nuevo León,,"25.682082567233447, -100.29951725085188",,2247004
6,6,6 - Garcia,García,Nuevo León,,"25.794376997546525, -100.58331696472145",,2247005
7,7,7 - La Huasteca,Santa Catarina,Nuevo León,,"25.66167939366433, -100.43812815949279",,2247006
8,62,62 - Lazaro Cardenas (Morelia),Morelia,Michoacán,,"19.69558975552982, -101.16619080210411",,2247061
9,63,63 - Madero (Morelia),Morelia,Michoacán,,"19.70252856788218, -101.20166300771551",,2247062
10,64,64 - Huerta,Morelia,Michoacán,,"19.675140664915457, -101.21529364414961",,2247063
18,8,8 - Gonzalitos,Monterrey,Nuevo León,,"25.69639870852111, -100.35161560916478",,2247007
19,9,9 - Anahuac,San Nicolás de los Garza,Nuevo León,,"25.744303852670928, -100.3006696271027",,2247008
20,10,10 - Barragan,Monterrey,Nuevo León,,"25.763873022118513, -100.30527231844925",,2247009
21,11,11 - Lincoln,Monterrey,Nuevo León,,"25.761802412417182, -100.40608818952317",,2247010
22,12,12 - Concordia,Monterrey,Nuevo León,,"25.78540175710123, -100.24823034883973",,2247011
23,13,13 - Escobedo,General Escobedo,Nuevo León,,"25.792845848713945, -100.32998837758983",,2247012
24,14,14 - Aztlan,San Nicolás de los Garza,Nuevo León,,"25.726927465362593, -100.34362579520116",,2247013
25,15,15 - Ruiz Cortinez,Monterrey,Nuevo León,,"25.73301583517556, -100.3754135171497",,2247014
26,16,16 - Solidaridad,Monterrey,Nuevo León,,"25.78156661060898, -100.3865247641699",,2247015
27,17,17 - Romulo Garza,San Nicolás de los Garza,Nuevo León,,"25.717662432496603, -100.24609143797122",,2247016
28,18,18 - Linda Vista,Guadalupe,Nuevo León,,"25.687547705955257, -100.26076555071306",,2247017
29,19,19 - Valle Soleado,Guadalupe,Nuevo León,,"25.705159001101205, -100.16275848233687",,2247018
30,20,20 - Tecnológico,Monterrey,Nuevo León,,"25.64691438252121, -100.2898745198029",,2247019
31,21,21 - Chapultepec,Monterrey,Nuevo León,,"25.666590641795537, -100.26870102231965",,2247020
32,22,22 - Satelite,San Nicolás de los Garza,Nuevo León,,"25.608209674802715, -100.27023485496667",,2247021
33,23,23 - Guasave,Guasave,Sinaloa,,"25.561396221487023, -108.46333695203617",,2247022
34,24,24 - Exposicion,Monterrey,Nuevo León,,"25.679014935099897, -100.2436629892562",,2247023
35,25,25 - Juarez,Monterrey,Nuevo León,,"25.651843643160795, -100.1128061766572",,2247024
36,26,26 - Cadereyta,Cadereyta Jiménez,Nuevo León,,"25.592724985761798, -100.00161890766424",,2247025
37,27,27 - Santiago,Santiago,Nuevo León,,"25.42416003940993, -100.14791995255321",,2247026
38,28,28 - Guerrero,Nuevo Laredo,Tamaulipas,,"27.49396395009821, -99.50736451458334",,2247027
39,29,29 - Pablo Livas,Guadalupe,Nuevo León,,"25.65754132219757, -100.18667063049017",,2247028
40,30,30 - Carrizo,Nuevo Laredo,Tamaulipas,,"27.497540447914805, -99.5509710727088",,2247029
41,31,31 - Las Quintas,Guadalupe,Nuevo León,,"25.690713559692842, -100.21250132814929",,2247030
42,32,32 - Allende,Allende,Nuevo León,,"25.27380858149898, -100.01752537623051",,2247031
43,33,33 - Eloy Cavazos,San Nicolás de los Garza,Nuevo León,,"25.654167160121432, -100.20986362983831",,2247032
44,34,34 - Montemorelos,Montemorelos,Nuevo León,,"25.18922330451322, -99.84242301306844",,2247033
45,35,35 - Apodaca,Apodaca,Nuevo León,,"25.752290904821493, -100.19873704677164",,2247034
46,36,36 - Apodaca Centro,Apodaca,Nuevo León,,"25.777422839061476, -100.18628063194757",,2247035
